Hakusana,Sanaluokka,Pituus
rintaruokinta,substantiivi,13
rintasolki,substantiivi,10
rintasuojus,substantiivi,11
rintasyöpä,substantiivi,10
rintatasku,substantiivi,10
rintatulehdus,substantiivi,13
rintatähti,substantiivi,10
rintauinti,substantiivi,10
rintava,adjektiivi,7
rintavako,substantiivi,9
rintavarustus,substantiivi,13
rintavuus,substantiivi,9
rintaääni,substantiivi,9
‑rinteinen,adjektiivi,10
rintsikat,substantiivi,9
rinuli,substantiivi,6
ripa,substantiivi,4
ripa,substantiivi,4
ripakinttu,"substantiivi, adjektiivi",10
ripari,substantiivi,6
ripaska,substantiivi,7
ripaus,substantiivi,6
ripauttaa,verbi,9
ripe,substantiivi,4
ripeksiä,verbi,8
ripellys,substantiivi,8
ripeys,substantiivi,6
ripeyttää,verbi,9
ripeytyä,verbi,8
ripeä,adjektiivi,5
ripeäliikkeinen,adjektiivi,15
ripeäotteinen,adjektiivi,13
ripeästi,adverbi,8
ripillepääsy,substantiivi,12
ripinä,substantiivi,6
ripirinnan,adverbi,10
ripistä,verbi,7
ripittäytyjä,substantiivi,12
ripittäytyä,verbi,11
ripittää,verbi,8
ripitys,substantiivi,7
ripote,substantiivi,6
ripotella,verbi,9
ripottaa,verbi,8
rippi,substantiivi,5
rippi-isä,substantiivi,9
rippijuhla,substantiivi,10
rippikehotus,substantiivi,12
rippikoulu,substantiivi,10
rippikouluikä,substantiivi,13
rippikouluikäinen,adjektiivi,17
rippikoululainen,substantiivi,16
rippikoululeiri,substantiivi,15
rippikoulunkäymätön,adjektiivi,19
rippikoulunkäynti,substantiivi,17
rippikoulunopettaja,substantiivi,19
rippikoulupoika,substantiivi,15
rippikoulutodistus,substantiivi,18
rippikoulutyttö,substantiivi,15
rippikuva,substantiivi,9
rippilahja,substantiivi,10
rippilapsi,substantiivi,10
rippileiri,substantiivi,10
rippipappi,substantiivi,10
rippipuhe,substantiivi,9
rippipuku,substantiivi,9
rippis,substantiivi,6
rippisaarna,substantiivi,11
rippisalaisuus,substantiivi,14
rippisanat,substantiivi,10
rippituoli,substantiivi,10
rippu,substantiivi,5
rippunen,substantiivi,8
ripsahdella,verbi,11
ripsahdus,substantiivi,9
ripsahtaa,verbi,9
ripsari,substantiivi,7
ripsaus,substantiivi,7
ripsauttaa,verbi,10
ripsentaivutin,substantiivi,14
ripsi,substantiivi,5
ripsi,substantiivi,5
ripsieläin,substantiivi,10
ripsienpidennys,substantiivi,15
ripsientaivutin,substantiivi,15
ripsiharja,substantiivi,10
ripsinauha,substantiivi,10
ripsinen,adjektiivi,8
ripsinen,adjektiivi,8
ripsiraja,substantiivi,9
ripsisidos,substantiivi,10
ripsiväri,substantiivi,9
ripsiä,verbi,6
ripsiäinen,substantiivi,10
ripsu,substantiivi,5
ripsua,verbi,6
ripsureuna,substantiivi,10
ripsureunainen,adjektiivi,14
ripuli,substantiivi,6
ripulinen,adjektiivi,9
ripulipotilas,substantiivi,13
ripuloida,verbi,9
ripulointi,substantiivi,10
ripustaa,verbi,8
ripustautua,verbi,11
ripustin,substantiivi,8
ripustus,substantiivi,8
ripustuskoukku,substantiivi,14
risa,"substantiivi, adjektiivi",4
risa,substantiivi,4
risahdella,verbi,10
risahdus,substantiivi,8
risahtaa,verbi,8
risahtelu,substantiivi,9
risainen,adjektiivi,8
risakas,substantiivi,7
risalakki,substantiivi,9
risaus,substantiivi,6
risauttaa,verbi,9
risiini,substantiivi,7
risiinikasvi,substantiivi,12
risiiniöljy,substantiivi,11
riskaabeli,adjektiivi,10
riskeerata,verbi,10
riski,substantiivi,5
riski,adjektiivi,5
riskialtis,adjektiivi,10
riskienhallinta,substantiivi,15
riskikuljettaja,substantiivi,15
riskikulutus,substantiivi,12
riskikäyttäjä,substantiivi,13
riskikäyttäytyminen,substantiivi,19
riskikäyttö,substantiivi,11
riskilisä,substantiivi,9
riskiluokitus,substantiivi,13
riskiluokka,substantiivi,11
riskilä,substantiivi,7
riskinen,adjektiivi,8
riskinhallinta,substantiivi,14
riskipreemio,substantiivi,12
riskipääoma,substantiivi,11
riskiraha,substantiivi,9
riskirahoitus,substantiivi,13
riskiraja,substantiivi,9
riskirakenne,substantiivi,12
riskiraskaus,substantiivi,12
riskiryhmä,substantiivi,10
riskisana,substantiivi,9
riskiseksi,substantiivi,10
riskisijoitus,substantiivi,13
riskisynnyttäjä,substantiivi,15
riskitekijä,substantiivi,11
riskitön,adjektiivi,8
risoa,verbi,5
risotto,substantiivi,7
rispaantua,verbi,10
rispautua,verbi,9
risteilijä,substantiivi,10
risteillä,verbi,9
risteily,substantiivi,8
risteilyalus,substantiivi,12
risteilyohjus,substantiivi,13
ristetä,verbi,7
risteymä,substantiivi,8
risteys,substantiivi,7
risteysajo,substantiivi,10
risteysalue,substantiivi,11
risteysasema,substantiivi,12
risteyskohta,substantiivi,12
risteyskolari,substantiivi,13
risteysmerkki,substantiivi,13
risteyspaikka,substantiivi,13
risteyttää,verbi,10
risteytymiseste,substantiivi,15
risteytymä,substantiivi,10
risteytys,substantiivi,9
risteytysjalostus,substantiivi,17
risteytyskoe,substantiivi,12
risteytystulos,substantiivi,14
risteytyä,verbi,9
risti,substantiivi,5
ristiaallokko,substantiivi,13
ristiallergia,substantiivi,13
ristiaskel,substantiivi,10
ristihuuli,substantiivi,10
ristihyppely,substantiivi,12
ristihämähäkki,substantiivi,14
ristiin,adverbi,7
ristiinnaulita,verbi,14
ristiinnaulitunkuva,substantiivi,19
ristiinomistus,substantiivi,14
ristiinpukeutuminen,substantiivi,19
ristiin rastiin,,15
ristiinäänestys,substantiivi,15
risti-istunta,substantiivi,13
ristijousto,substantiivi,11
ristikappale,substantiivi,12
ristikirkko,substantiivi,11
ristikki,substantiivi,8
ristikko,substantiivi,8
ristikkoikkuna,substantiivi,14
ristikkomerkki,substantiivi,14
ristikkorakenne,substantiivi,15
ristikkorakenteinen,adjektiivi,19
ristikkorunko,substantiivi,13
ristikkosilta,substantiivi,13
ristikkäin,adverbi,10
ristikkäinen,adjektiivi,12
ristikkäisesti,adverbi,14
ristikkäispaine,substantiivi,15
ristikkäisyys,substantiivi,13
ristikoida,verbi,10
ristikollinen,adjektiivi,13
ristikudosrengas,substantiivi,16
ristikukkainen,adjektiivi,14
ristikukkaiskasvi,substantiivi,17
ristikulma,substantiivi,10
ristikuningas,substantiivi,13
ristikuulustella,verbi,16
ristikuulustelu,substantiivi,15
ristikuva,substantiivi,9
ristikuvaus,substantiivi,11
ristikärkitaltta,substantiivi,16
ristilaukka,substantiivi,11
ristilukki,substantiivi,10
ristiluu,substantiivi,8
ristimäinen,adjektiivi,11
ristimänimi,substantiivi,11
ristinikama,substantiivi,11
ristinivel,substantiivi,10
ristinkuolema,substantiivi,13
ristinmerkki,substantiivi,12
ristinolla,substantiivi,10
ristinpuu,substantiivi,9
ristintie,substantiivi,9
ristiote,substantiivi,8
ristipaine,substantiivi,10
ristipisto,substantiivi,10
ristipistokirjonta,substantiivi,18
ristipurenta,substantiivi,12
ristipäämeisseli,substantiivi,16
ristipääruuvi,substantiivi,13
ristipäätaltta,substantiivi,14
ristipölytteinen,adjektiivi,16
ristipölytys,substantiivi,12
ristiretkeläinen,substantiivi,16
ristiretki,substantiivi,10
ristiriidaton,adjektiivi,13
ristiriipunta,substantiivi,13
ristiriita,substantiivi,10
ristiriitainen,adjektiivi,14
ristiriitaisuus,substantiivi,15
ristiriitatilanne,substantiivi,17
ristiritari,substantiivi,11
ristirouva,substantiivi,10
ristisaatto,substantiivi,11
ristisanatehtävä,substantiivi,16
ristiselkä,substantiivi,10
ristiside,substantiivi,9
ristisidonta,substantiivi,12
ristisiitos,substantiivi,11
ristisiittoinen,adjektiivi,15
ristissä,adverbi,8
ristisyöttö,substantiivi,11
ristitaulukko,substantiivi,13
ristiteritys,substantiivi,12
ristituli,substantiivi,9
ristiturpa,substantiivi,10
ristiura,substantiivi,8
ristiuraruuvi,substantiivi,13
ristivalottaa,verbi,13
ristivalotus,substantiivi,12
ristivaneri,substantiivi,11
ristiverinen,adjektiivi,12
ristiveto,substantiivi,9
ristivyö,substantiivi,8
ristivyöheitto,substantiivi,14
ristivyöote,substantiivi,11
ristiä,verbi,6
ristiäiset,substantiivi,10
ristiässä,substantiivi,9
risu,substantiivi,4
risuaita,substantiivi,8
risukasa,substantiivi,8
risukko,substantiivi,7
risukkoinen,adjektiivi,11
risupaali,substantiivi,9
risuparta,substantiivi,9
risupartainen,adjektiivi,13
risusavotta,substantiivi,11
risutukki,substantiivi,9
risutyö,substantiivi,7
rita,substantiivi,4
ritari,substantiivi,6
ritariballadi,substantiivi,13
ritarihuone,substantiivi,11
ritarihyve,substantiivi,10
ritari-ihanne,substantiivi,13
ritarikannus,substantiivi,12
ritariksilyönti,substantiivi,15
ritarikunta,substantiivi,11
ritarilaitos,substantiivi,12
ritarilaulu,substantiivi,11
ritarilinna,substantiivi,11
ritarillinen,adjektiivi,12
ritarillisesti,adverbi,14
ritarillisuus,substantiivi,13
ritarimerkki,substantiivi,12
ritarinkannus,substantiivi,13
ritarinkukka,substantiivi,12
ritariperhonen,substantiivi,14
ritariromaani,substantiivi,13
ritarirunous,substantiivi,12
ritaristo,substantiivi,9
ritarisääty,substantiivi,11
ritilä,substantiivi,6
ritilähylly,substantiivi,11
ritilämatto,substantiivi,11
ritinä,substantiivi,6
ritirinnan,adverbi,10
ritistä,verbi,7
ritsa,substantiivi,5
rituaali,substantiivi,8
rituaalimurha,substantiivi,13
rituaalinen,adjektiivi,11
rituaaliteurastus,substantiivi,17
ritva,substantiivi,5
ritvakoivu,substantiivi,10
riuduttaa,verbi,9
riuhtaista,verbi,10
riuhtaisu,substantiivi,9
riuhtoa,verbi,7
riuku,substantiivi,5
riuna,substantiivi,5
riuska,adjektiivi,6
riuskaotteinen,adjektiivi,14
riuskasti,adverbi,9
riuskuus,substantiivi,8
riutta,substantiivi,6
riuttainen,adjektiivi,10
riutua,verbi,6
rivaali,substantiivi,7
rivakasti,adverbi,9
rivakka,adjektiivi,7
rivakkaotteinen,adjektiivi,15
rivakkuus,substantiivi,9
riveittäin,adverbi,10
rivi,substantiivi,4
rivijäsen,substantiivi,9
rivikansalainen,substantiivi,15
rivikansanedustaja,substantiivi,18
rivikirjoitin,substantiivi,13
rivikylvö,substantiivi,9
rivikylvökone,substantiivi,13
rivilatomakone,substantiivi,14
rivimies,substantiivi,8
rivimoottori,substantiivi,12
rivinalinen,adjektiivi,11
‑rivinen,adjektiivi,8
rivinvaihdin,substantiivi,12
rivinvaihtonäppäin,substantiivi,18
rivinväli,substantiivi,9
rivinylinen,adjektiivi,11
rivistö,substantiivi,7
rivitalo,substantiivi,8
rivitaloalue,substantiivi,12
rivitaloasunto,substantiivi,14
rivitalohuoneisto,substantiivi,17
rivitalonpätkä,substantiivi,14
rivitalo-osake,substantiivi,14
rivitanssi,substantiivi,10
rivitekniikka,substantiivi,13
rivittäin,adverbi,9
rivittää,verbi,8
rivitys,substantiivi,7
rivivaltuutettu,substantiivi,15
riviväli,substantiivi,8
rivo,"adjektiivi, substantiivi",4
rivopuheinen,adjektiivi,12
rivosuinen,adjektiivi,10
rivous,substantiivi,6
RNA,substantiivi,3
roaming,substantiivi,7
robo,substantiivi,4
robotiikka,substantiivi,10
robotisoida,verbi,11
robotisointi,substantiivi,12
robotisoitua,verbi,12
robotoida,verbi,9
robotointi,substantiivi,10
robotti,substantiivi,7
robottikopteri,substantiivi,14
robottilennokki,substantiivi,15
robottimainen,adjektiivi,13
robottitekniikka,substantiivi,16
robusti,adjektiivi,7
rock,substantiivi,4
rock and roll,substantiivi,13
rockelokuva,substantiivi,11
rockfestivaali,substantiivi,14
rockmusiikki,substantiivi,12
rock’n’roll,substantiivi,11
rockooppera,substantiivi,11
rocktähti,substantiivi,9
rockvideo,substantiivi,9
rockyhtye,substantiivi,9
rodeo,substantiivi,5
rodium,substantiivi,6
rodullinen,adjektiivi,10
rodullistaa,verbi,11
rodunjalostus,substantiivi,13
rohdin,substantiivi,6
rohdinkangas,substantiivi,12
rohdos,substantiivi,6
rohdoskasvi,substantiivi,11
rohdosoppi,substantiivi,10
rohduksissa,adverbi,11
rohea,adjektiivi,5
rohina,substantiivi,6
rohista,verbi,7
rohjake,substantiivi,7
rohjeta,verbi,7
rohjo,substantiivi,5
rohkaista,verbi,9
rohkaistua,verbi,10
rohkaisu,substantiivi,8
rohkaisuryyppy,substantiivi,14
rohkea,adjektiivi,6
rohkeaotteinen,adjektiivi,14
rohkeapuheinen,adjektiivi,14
rohkeasti,adverbi,9
rohkeus,substantiivi,7
rohmu,substantiivi,5
rohmuaja,substantiivi,8
rohmukuoriainen,substantiivi,15
rohmuta,verbi,7
rohtimet,substantiivi,8
rohtiminen,adjektiivi,10
rohto,substantiivi,5
rohtoemäkki,substantiivi,11
rohtopunahattu,substantiivi,14
rohtopäivänhattu,substantiivi,16
rohtosarviapila,substantiivi,15
rohtua,verbi,6
rohtuma,substantiivi,7
roihahtaa,verbi,9
roihu,substantiivi,5
roihuta,verbi,7
roikaa,verbi,6
roikale,substantiivi,7
roikka,substantiivi,6
roikko,substantiivi,6
roikkosopimus,substantiivi,13
roikku,substantiivi,6
roikkua,verbi,7
roikkulaukaus,substantiivi,13
roikkupallo,substantiivi,11
roikotella,verbi,10
roikottaa,verbi,9
roikua,verbi,6
roilo,substantiivi,5
roima,adjektiivi,5
roimasti,adverbi,8
roimia,verbi,6
roina,substantiivi,5
roipe,substantiivi,5
roisi,adjektiivi,5
roiskahdella,verbi,12
roiskahdus,substantiivi,10
roiskahtaa,verbi,10
roiskaista,verbi,10
roiskaus,substantiivi,8
roiskautella,verbi,12
roiskauttaa,verbi,11
roiske,substantiivi,6
roiskeläppä,substantiivi,11
roiskerappaus,substantiivi,13
roisketiivis,adjektiivi,12
roiskevesi,substantiivi,10
roiskia,verbi,7
roiskua,verbi,7
roiskutella,verbi,11
roiskuttaa,verbi,10
roiskutus,substantiivi,9
roisto,substantiivi,6
roistomainen,adjektiivi,12
roistomaisesti,adverbi,14
roistomaisuus,substantiivi,13
rojahdus,substantiivi,8
rojahtaa,verbi,8
rojalismi,substantiivi,9
rojalisti,substantiivi,9
rojalistinen,adjektiivi,12
rojalti,substantiivi,7
rojaus,substantiivi,6
rojauttaa,verbi,9
rojottaa,verbi,8
roju,substantiivi,4
rojuinen,adjektiivi,8
rokahtua,verbi,8
rokahtuma,substantiivi,9
rokastaa,verbi,8
rokastus,substantiivi,8
rokata,verbi,6
rokka,substantiivi,5
rokkapata,substantiivi,9
rokkari,substantiivi,7
rokki,substantiivi,5
rokkimusiikki,substantiivi,13
rokkivideo,substantiivi,10
rokkiyhtye,substantiivi,10
rokko,substantiivi,5
rokkoepidemia,substantiivi,13
rokkoinen,adjektiivi,9
rokkotauti,substantiivi,10
rokkovirus,substantiivi,10
rokokoo,substantiivi,7
rokokooaika,substantiivi,11
rokokoohuonekalu,substantiivi,16
rokokoolipasto,substantiivi,14
rokokootuoli,substantiivi,12
rokokootyyli,substantiivi,12
rokokootyylinen,adjektiivi,15
rokonarpi,substantiivi,9
rokonarpinen,adjektiivi,12
rokote,substantiivi,6
rokotekattavuus,substantiivi,15
rokotesuoja,substantiivi,11
rokottaa,verbi,8
rokottautua,verbi,11
rokotus,substantiivi,7
rokotusaine,substantiivi,11
rokotusarpi,substantiivi,11
rokotuskattavuus,substantiivi,16
rokotuskortti,substantiivi,13
rokotusneula,substantiivi,12
rokotuspiikki,substantiivi,13
rokotussuoja,substantiivi,12
rokotustodistus,substantiivi,15
rokuli,substantiivi,6
rokulipäivä,substantiivi,11
rollaattori,substantiivi,11
roll-on,substantiivi,7
roll-up,substantiivi,7
romaani,substantiivi,7
romaanihenkilö,substantiivi,14
romaanikirjailija,substantiivi,17
romaanikirjallisuus,substantiivi,19
romaanikäännös,substantiivi,14
romaaninen,adjektiivi,10
romaanisankari,substantiivi,14
romaanisarja,substantiivi,12
romaanitaide,substantiivi,12
romaanitrilogia,substantiivi,15
romaanituotanto,substantiivi,15
romadur,substantiivi,7
romadurjuusto,substantiivi,13
romahdus,substantiivi,8
romahdusmainen,adjektiivi,14
romahdusmaisesti,adverbi,16
romahduttaa,verbi,11
romahtaa,verbi,8
romainesalaatti,substantiivi,15
romainsalaatti,substantiivi,14
romanasalaatti,substantiivi,14
romani,substantiivi,6
romania,substantiivi,7
romanialainen,"adjektiivi, substantiivi",13
romanian kieli,,14
romanikieli,substantiivi,11
romanikielinen,adjektiivi,14
romanikulttuuri,substantiivi,15
romanimies,substantiivi,10
romaninainen,substantiivi,12
romanin kieli,,13
romaninkielinen,adjektiivi,15
romanipuku,substantiivi,10
romanisti,substantiivi,9
romanistiikka,substantiivi,13
romaniväestö,substantiivi,12
romaniyhteisö,substantiivi,13
romanssi,substantiivi,8
romanssinpoikanen,substantiivi,17
romantiikannälkäinen,adjektiivi,20
romantiikka,substantiivi,11
romantikko,substantiivi,10
romantisoida,verbi,12
romanttinen,adjektiivi,11
romanttisesti,adverbi,13
romanttisuus,substantiivi,12
romauttaa,verbi,9
rombi,substantiivi,5
rombinen,adjektiivi,8
romina,substantiivi,6
romista,verbi,7
rommi,substantiivi,5
rommi,substantiivi,5
rommi,substantiivi,5
rommipullo,substantiivi,10
rommitoti,substantiivi,9
rommiviina,substantiivi,10
rompe,substantiivi,5
romppu,substantiivi,6
rompsu,substantiivi,6
romsku,substantiivi,6
romu,substantiivi,4
romuarvo,substantiivi,8
romuauto,substantiivi,8
romukasa,substantiivi,8
romukauppa,substantiivi,10
romukoppa,substantiivi,9
romuliike,substantiivi,9
romuluinen,adjektiivi,10
romumetalli,substantiivi,11
romuralli,substantiivi,9
romurauta,substantiivi,9
romuttaa,verbi,8
romuttamo,substantiivi,9
romuttua,verbi,8
romutus,substantiivi,7
romuvarasto,substantiivi,11
rondella,substantiivi,8
rondi,substantiivi,5
rondo,substantiivi,5
ronkeli,adjektiivi,7
ronkkia,verbi,7
ronski,adjektiivi,6
ronskisti,adverbi,9
rontti,substantiivi,6
ronttonen,substantiivi,9
rooibostee,substantiivi,10
rooli,substantiivi,5
rooliajattelu,substantiivi,13
rooliasenne,substantiivi,11
roolihahmo,substantiivi,10
roolijako,substantiivi,9
roolikäyttäytyminen,substantiivi,19
roolileikki,substantiivi,11
roolimalli,substantiivi,10
roolimeikki,substantiivi,11
roolimiehitys,substantiivi,13
rooliodotus,substantiivi,11
roolipelaaja,substantiivi,12
roolipeli,substantiivi,9
rooliristiriita,substantiivi,15
rooliruno,substantiivi,9
roolisuoritus,substantiivi,13
roolittaa,verbi,9
roolittaja,substantiivi,10
roolitus,substantiivi,8
roolivaatimus,substantiivi,13
roomalainen,"substantiivi, adjektiivi",11
roomalaiskatolilainen,substantiivi,21
roomalaiskatolilaisuus,substantiivi,22
roomalaiskatolinen,"adjektiivi, substantiivi",18
roomalaiskatolisuus,substantiivi,19
roomalaiskirje,substantiivi,14
roomalaisvalta,substantiivi,14
roomankumina,substantiivi,12
roomansalaatti,substantiivi,14
roomatar,substantiivi,8
roosa,adjektiivi,5
roosanvärinen,adjektiivi,13
rooteli,substantiivi,7
roottori,substantiivi,8
ropeloida,verbi,9
ropina,substantiivi,6
ropista,verbi,7
ropisuttaa,verbi,10
ropo,substantiivi,4
roponen,substantiivi,7
roppakaupalla,adverbi,13
ropsahdella,verbi,11
ropsahdus,substantiivi,9
ropsahtaa,verbi,9
ropsaus,substantiivi,7
ropsautella,verbi,11
ropsauttaa,verbi,10
ropse,substantiivi,5
ropsia,verbi,6
roquefort,substantiivi,9
roquefortinjuusto,substantiivi,17
roquefortjuusto,substantiivi,15
ro-ro-alus,substantiivi,10
rosé,substantiivi,4
rosee,"substantiivi, adjektiivi",5
roseepippuri,substantiivi,12
roseeviini,substantiivi,10
rosépippuri,substantiivi,11
rosetti,substantiivi,7
rosettirauta,substantiivi,12
roséviini,substantiivi,9
roska,substantiivi,5
roskaaja,substantiivi,8
roskaantua,verbi,10
roskaelokuva,substantiivi,12
roskainen,adjektiivi,9
roskaisuus,substantiivi,10
roskajoukko,substantiivi,11
roskakala,substantiivi,9
roskakasa,substantiivi,9
roskakirjallisuus,substantiivi,17
roskakori,substantiivi,9
roskakuilu,substantiivi,10
roskakulttuuri,substantiivi,14
roskakuski,substantiivi,10
roskalaatikko,substantiivi,13
roskalaina,substantiivi,10
roskalava,substantiivi,9
roskalehdistö,substantiivi,13
roskalehti,substantiivi,10
roskaläjä,substantiivi,9
roskapankki,substantiivi,11
roskaposti,substantiivi,10
roskapuhe,substantiivi,9
roskapussi,substantiivi,10
roskapönttö,substantiivi,11
roskaromaani,substantiivi,12
roskaruoka,substantiivi,10
roskasäiliö,substantiivi,11
roskata,verbi,7
roskatunkio,substantiivi,11
roskatynnyri,substantiivi,12
roskaväki,substantiivi,9
roskis,substantiivi,6
roskisdyykkari,substantiivi,14
rosmariini,substantiivi,10
rosmariiniöljy,substantiivi,14
rosmo,substantiivi,5
roso,substantiivi,4
rosoinen,adjektiivi,8
rosoisesti,adverbi,10
rosoisuus,substantiivi,9
rosolli,substantiivi,7
rospuutto,substantiivi,9
rospuuttoaika,substantiivi,13
rossipohja,substantiivi,10
rosteri,substantiivi,7
rosterinen,adjektiivi,10
rosti,substantiivi,5
rosvo,substantiivi,5
rosvoilla,verbi,9
rosvoilu,substantiivi,8
rosvojoukko,substantiivi,11
rosvokapitalismi,substantiivi,16
rosvokopla,substantiivi,10
rosvopaisti,substantiivi,11
rosvopäällikkö,substantiivi,14
rosvota,verbi,7
rosvous,substantiivi,7
rotaatio,substantiivi,8
rotaatiokone,substantiivi,12
rotaatiopaino,substantiivi,13
rotaatiopainokone,substantiivi,17
rotanhäntä,substantiivi,10
rotankolo,substantiivi,9
rotanloukku,substantiivi,11
rotanmyrkky,substantiivi,11
rotanpyydys,substantiivi,11
rotanraato,substantiivi,10
rotari,substantiivi,6
rotaryjärjestö,substantiivi,14
rotaryklubi,substantiivi,11
rotavirus,substantiivi,9
roteva,adjektiivi,6
rotevatekoinen,adjektiivi,14
roti,substantiivi,4
rotinat,substantiivi,7
rotisko,substantiivi,7
rotko,substantiivi,5
rotsi,substantiivi,5
rotta,substantiivi,5
rottamainen,adjektiivi,11
rottasota,substantiivi,9
rottelo,substantiivi,7
rottinki,substantiivi,8
rottinkihuonekalu,substantiivi,17
rottinkikori,substantiivi,12
rottinkinen,adjektiivi,11
rottinkituoli,substantiivi,13
rottweiler,substantiivi,10
rotu,substantiivi,4
rotuennakkoluulo,substantiivi,16
rotuerottelu,substantiivi,12
rotuhevonen,substantiivi,11
rotuhygienia,substantiivi,12
rotuinen,adjektiivi,8
rotukiihkoilija,substantiivi,15
rotukissa,substantiivi,9
rotukoira,substantiivi,9
rotumellakka,substantiivi,12
rotumerkki,substantiivi,10
rotunainen,substantiivi,10
rotuominaisuus,substantiivi,14
rotuoppi,substantiivi,8
rotupuhdas,adjektiivi,10
rotupuhtaus,substantiivi,11
rotusorto,substantiivi,9
rotusyrjintä,substantiivi,12
rotuviha,substantiivi,8
roudari,substantiivi,7
roudata,verbi,7
roudittua,verbi,9
rouhaista,verbi,9
rouhe,substantiivi,5
rouhea,adjektiivi,6
rouheinen,adjektiivi,9
rouhelimppu,substantiivi,11
rouhemylly,substantiivi,10
rouhentaa,verbi,9
rouhesämpylä,substantiivi,12
rouhia,verbi,6
rouhiintua,verbi,10
rouhin,substantiivi,6
rouhinta,substantiivi,8
rouhiutua,verbi,9
rouille,substantiivi,7
rouskahtaa,verbi,10
rouske,substantiivi,6
rousku,substantiivi,6
rouskua,verbi,7
rouskutella,verbi,11
rouskuttaa,verbi,10
rouskutus,substantiivi,9
rouste,substantiivi,6
routa,substantiivi,5
routaannuttaa,verbi,13
routaantua,verbi,10
routaeriste,substantiivi,11
routainen,adjektiivi,9
routakerros,substantiivi,11
routaraja,substantiivi,9
routavahinko,substantiivi,12
routavaurio,substantiivi,11
routavuodet,substantiivi,11
routia,verbi,6
routiintua,verbi,10
rouva,substantiivi,5
rouvamainen,adjektiivi,11
rouvamalli,substantiivi,10
rouvashenkilö,substantiivi,13
rouvitella,verbi,10
rouvittelu,substantiivi,10
roux,substantiivi,4
rovasti,substantiivi,7
rovastikunta,substantiivi,12
rovastikuntakokous,substantiivi,18
rovastinna,substantiivi,10
rove,substantiivi,4
rovio,substantiivi,5
royalty,substantiivi,7
rubato,substantiivi,6
rubiini,substantiivi,7
rubiininpunainen,adjektiivi,16
rubiinisormus,substantiivi,13
rubriikki,substantiivi,9
rucola,substantiivi,6
rudimentaarinen,adjektiivi,15
rudimentti,substantiivi,10
rugby,substantiivi,5
rugbyjoukkue,substantiivi,12
rugbyottelu,substantiivi,11
ruhje,substantiivi,5
ruhjevamma,substantiivi,10
ruhjevyöhyke,substantiivi,12
ruhjoa,verbi,6
ruhjoontua,verbi,10
ruhjouma,substantiivi,8
ruhjoutua,verbi,9
ruhjoutuma,substantiivi,10
ruho,substantiivi,4
ruhonosa,substantiivi,8
ruhonpuolikas,substantiivi,13
ruhtinaallinen,"adjektiivi, substantiivi",14
ruhtinaallisesti,adverbi,16
ruhtinaallisuus,substantiivi,15
ruhtinas,substantiivi,8
ruhtinashuone,substantiivi,13
ruhtinaskunta,substantiivi,13
ruhtinaspari,substantiivi,12
ruhtinassuku,substantiivi,12
ruhtinatar,substantiivi,10
ruijalainen,"adjektiivi, substantiivi",11
ruijanpallas,substantiivi,12
ruikata,verbi,7
ruikkia,verbi,7
ruikuli,substantiivi,7
ruikuttaa,verbi,9
ruikuttaja,substantiivi,10
ruikutus,substantiivi,8
ruinata,verbi,7
ruipelo,substantiivi,7
ruis,substantiivi,4
ruishiutale,substantiivi,11
ruisjauho,substantiivi,9
ruiskahdus,substantiivi,10
ruiskahtaa,verbi,10
ruiskaista,verbi,10
ruiskaunokki,substantiivi,12
ruiskaus,substantiivi,8
ruiskautella,verbi,12
ruiskauttaa,verbi,11
ruiske,substantiivi,6
ruiskeliuos,substantiivi,11
ruiskia,verbi,7
ruiskorppu,substantiivi,10
ruisku,substantiivi,6
ruiskuhuume,substantiivi,11
ruiskukansininen,adjektiivi,16
ruiskukka,substantiivi,9
ruiskulakata,verbi,12
ruiskulakkaus,substantiivi,13
ruiskumaalata,verbi,13
ruiskumaalaus,substantiivi,13
ruiskupistooli,substantiivi,14
ruiskupuristaa,verbi,14
ruiskusuolata,verbi,13
ruiskusuolaus,substantiivi,13
ruiskuta,verbi,8
ruiskute,substantiivi,8
ruiskuttaa,verbi,10
ruiskutus,substantiivi,9
ruiskutusmoottori,substantiivi,17
ruiskutuspumppu,substantiivi,15
ruiskuvalu,substantiivi,10
ruislajike,substantiivi,10
ruisleipä,substantiivi,9
ruisleipäviipale,substantiivi,16
ruislimppu,substantiivi,10
ruislintu,substantiivi,9
ruismaltaat,substantiivi,11
ruispelto,substantiivi,9
ruispuuro,substantiivi,9
ruisrääkkä,substantiivi,10
ruissato,substantiivi,8
ruissihtijauho,substantiivi,14
ruistankio,substantiivi,10
ruisvehnä,substantiivi,9
rujo,adjektiivi,4
rujous,substantiivi,6
rukata,verbi,6
rukiinen,adjektiivi,8
rukiinjyvä,substantiivi,10
rukiinolki,substantiivi,10
rukiinsiemen,substantiivi,12
rukiinviljely,substantiivi,13
rukinlapa,substantiivi,9
rukinpyörä,substantiivi,10
rukka,substantiivi,5
rukkanen,substantiivi,8
rukkaskäsi,substantiivi,10
rukkaus,substantiivi,7
rukkauttaa,verbi,10
rukki,substantiivi,5
rukki,substantiivi,5
ruko,substantiivi,4
rukoilevainen,substantiivi,13
rukoilevaisuus,substantiivi,14
rukoilija,substantiivi,9
rukoilijasirkka,substantiivi,15
rukoilla,verbi,8
rukoilu,substantiivi,7
rukola,substantiivi,6
